"";"distance";"route"
"332";5670;"Иркутск Иркутская Санкт-Петербург Санкт-Петербург"
"333";2268;"Санкт-Петербург Санкт-Петербург Нижний Тагил Свердловская"
"334";499;"Дзержинск Нижегородская Обнинск Калужская"
"335";1153;"Сергиев Посад Московская Ростов-на-Дону Ростовская"
"336";783;"Москва Москва Волжск Марий Эл"
"337";3087;"Санкт-Петербург Санкт-Петербург Ханты-Мансийск Ханты-Мансийский Автономный округ - Югра"
"338";107;"Старая Купавна Московская Чехов Московская"
"339";4757;"Санкт-Петербург Санкт-Петербург Абакан Хакасия"
"340";1977;"Санкт-Петербург Санкт-Петербург Нефтекамск Башкортостан"
"341";762;"Обнинск Калужская Санкт-Петербург Санкт-Петербург"
"342";715;"Санкт-Петербург Санкт-Петербург 1Чеховский р-он Люторецкое Производственная 5
2Москва пересечение 1-я с 5-й магистральной 
3Чеховский р-он Люторецкое Производственная 5 Москва"
"343";669;"Санкт-Петербург Санкт-Петербург Лобня Московская"
"344";67;"Сергиев Посад Московская Москва Москва"
"345";359;"Дзержинск Нижегородская Кострома Костромская"
"346";3317;"Санкт-Петербург Санкт-Петербург Пыть-Ях Ханты-Мансийский Автономный округ - Югра"
"347";712;"Воронеж Воронежская Дзержинск Нижегородская"
"348";257;"Владимир Владимирская Чехов Московская"
"349";1348;"Москва Москва Кез и Очёр Пермский"
"350";3956;"Тарко-Сале Ямало-Ненецкий Санкт-Петербург Санкт-Петербург"
"351";1063;"Санкт-Петербург Санкт-Петербург Орел Орловская"
"352";1809;"Уфа Башкортостан Мегион Ханты-Мансийский Автономный округ - Югра"
"353";545;"Балашиха Московская Курск Курская"
"354";660;"Дзержинск Нижегородская Нижнекамск Татарстан"
"355";595;"Москва Москва 442214, Пензенская область, Каменский район, поселок Росток, п/о Головинщино, поселок Росток Пензенская"
"356";1791;"Санкт-Петербург Санкт-Петербург Набережные Татарстан"
"357";212;"Дзержинск Нижегородская Владимир Владимирская"
"358";898;"Богородск Нижегородская Очер Пермский"
"359";466;"Москва Москва Тамбов Тамбовская"
"360";728;"Санкт-Петербург Санкт-Петербург Люберцы Московская"
"361";8450;"Тверь Тверская Хабаровск Хабаровский"
"362";409;"Красноярск Красноярский Абакан Хакасия"
"363";646;"Ногинск Московская Пенза Пензенская"
"364";667;"Москва Москва Белгород Белгородская"
"365";1187;"Уфа Башкортостан Владимир Владимирская"
"366";289;"Томилино Московская Ярославль Ярославская"
"367";36;"Санкт-Петербург Санкт-Петербург Лен.обл, Ломоносовский район, с.Разбегаево, стр.5 Ленинградская"
"368";320;"Пыть-Ях Ханты-Мансийский Автономный округ - Югра Нижневартовск Ханты-Мансийский Автономный округ - Югра"
"369";376;"Дзержинск Нижегородская Щелково Московская"
"370";312;"Москва Москва Иваново Ивановская"
"371";192;"Дзержинск Нижегородская Меленки Владимирская"
"372";1149;"Москва Москва Таганрог Ростовская"
"373";1327;"Москва Москва Уральск Казахстан"
"374";1126;"Санкт-Петербург Санкт-Петербург Богородск Нижегородская"
"375";43;"Дзержинск Нижегородская Богородск Нижегородская"
"376";714;"Дзержинск Нижегородская Воронеж Воронежская"
"377";1493;"Санкт-Петербург Санкт-Петербург Йошкар-Ола Марий Эл"
"378";3326;"Санкт-Петербург Санкт-Петербург Нефтеюганск Ханты-Мансийский Автономный округ - Югра"
